ID,choice_number,age,educ,emp,emp_other,hh_inc,inc,hh_size,hh_emp,mrts,mil_resp,mil_done,mil_time,mil_choice,mil_curr,patriotism 1,patriotism 2,patriotism 3,patriotism 4,patriotism 5,patriotism 6,patriotism 7,patriotism 8,patriotism 9,patriotism 10,patriotism 11,patriotism 12,patriotism 13,patriotism 14,patriotism 15,patriotism 16,patriotism 17,patriotism 18,patriotism 19,patriotism 20,secularism 1,secularism 2,secularism 3,secularism 4,secularism 5,secularism 6,secularism 7,secularism 8,secularism 9,secularism 10,secularism 11,secularism 12,secularism 13,secularism 14,secularism 15,secularism 16,secularism 17,secularism 18,secularism 19,secularism 20,secularism 21,secularism 22,secularism 23,secularism 24,secularism 25,standard_duration,standard_price,paid1_duration,paid1_price,paid2_duration,paid2_price,choice_A,choice_B,choice_C
R_9zjj4C4yoIuLA8F,1,2,4,3,,2,0,2,1,0,1,0,,,1,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,4,3,2,2,1,1,1,2,2,1,3,2,1,1,3,3,4,4,3,3,3,2,4,24,0,7,100000,4,340000,1,0,0
R_9JKCZV6WaRacZIx,1,0,2,0,,5,3,1,1,0,1,0,,,0,2,3,4,2,3,2,4,3,3,3,3,3,4,4,4,3,4,3,4,4,1,1,2,3,4,3,4,4,3,3,3,4,3,4,4,4,5,4,3,3,3,3,4,4,5,24,0,5,220000,4,340000,0,1,0
R_9fM8hwnpYHe6FS9,1,2,3,0,,7,7,2,1,0,1,0,,,0,2,3,4,3,3,3,3,4,4,4,3,4,4,4,3,3,3,3,2,2,3,3,4,3,3,4,4,3,4,3,4,3,4,4,4,4,4,4,3,3,4,3,3,3,3,24,0,11,520000,12,240000,1,0,0
R_987ubqWXt0uMtNv,1,4,4,0,,7,7,2,1,1,1,0,,,1,4,4,3,4,3,2,1,3,4,4,4,4,3,3,4,5,3,3,4,3,1,4,5,5,3,4,4,4,5,4,3,4,3,4,4,5,4,5,4,5,4,4,4,4,4,24,0,5,220000,4,340000,0,1,0
R_9MSc5zFNQrr9pM5,1,2,3,2,,2,3,4,0,0,1,0,,,1,5,5,5,5,4,5,4,5,4,4,4,4,5,5,4,3,4,5,3,5,4,3,3,4,5,4,3,4,5,3,4,4,3,4,4,3,5,4,3,3,2,3,2,4,3,24,0,8,420000,9,360000,0,0,1
R_9pXoRskEQ17VUDr,1,1,2,1,,3,4,2,1,1,1,0,,,0,4,4,3,3,4,3,4,4,5,4,4,3,3,4,3,2,4,3,4,3,4,4,3,4,4,3,3,1,3,4,3,3,4,2,3,3,5,5,2,4,5,4,3,4,4,24,0,5,90000,4,340000,1,0,0
R_9bAIZNAYy4dR7ON,1,0,1,1,,3,3,1,1,1,1,0,,,0,2,2,3,3,2,1,1,1,1,3,2,2,3,2,2,1,2,1,2,1,5,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,2,1,2,1,2,24,0,5,300000,4,340000,1,0,0
R_9thQYDRLVjO6G8K,1,2,3,2,,4,3,2,2,0,1,0,,,1,2,3,3,4,3,4,3,4,3,4,3,5,3,4,3,4,3,4,4,5,5,1,2,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,24,0,7,160000,6,370000,1,0,0
R_92YjG6dVfEopRR9,1,1,1,2,,1,0,2,1,0,1,0,,,1,4,3,5,5,2,4,2,3,5,4,1,2,4,5,4,5,4,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,4,1,1,1,5,1,24,0,6,370000,7,100000,1,0,0
R_9axcuPQBv4HHtNE,1,4,4,0,,7,7,2,1,1,1,0,,,1,1,1,5,1,2,1,2,1,1,3,2,1,4,4,5,5,4,5,5,4,2,4,4,2,4,3,4,4,3,4,2,2,4,3,4,4,3,3,4,4,4,4,4,5,5,24,0,7,250000,2,310000,0,1,0
R_9zjj4C4yoIuLA8F,2,2,4,3,,2,0,2,1,0,1,0,,,1,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,4,3,2,2,1,1,1,2,2,1,3,2,1,1,3,3,4,4,3,3,3,2,4,24,0,8,120000,0,280000,0,1,0
R_9JKCZV6WaRacZIx,2,0,2,0,,5,3,1,1,0,1,0,,,0,2,3,4,2,3,2,4,3,3,3,3,3,4,4,4,3,4,3,4,4,1,1,2,3,4,3,4,4,3,3,3,4,3,4,4,4,5,4,3,3,3,3,4,4,5,24,0,8,340000,7,400000,1,0,0
R_9fM8hwnpYHe6FS9,2,2,3,0,,7,7,2,1,0,1,0,,,0,2,3,4,3,3,3,3,4,4,4,3,4,4,4,3,3,3,3,2,2,3,3,4,3,3,4,4,3,4,3,4,3,4,4,4,4,4,4,3,3,4,3,3,3,3,24,0,8,350000,7,400000,0,1,0
R_987ubqWXt0uMtNv,2,4,4,0,,7,7,2,1,1,1,0,,,1,4,4,3,4,3,2,1,3,4,4,4,4,3,3,4,5,3,3,4,3,1,4,5,5,3,4,4,4,5,4,3,4,3,4,4,5,4,5,4,5,4,4,4,4,4,24,0,6,180000,1,290000,0,1,0
R_9MSc5zFNQrr9pM5,2,2,3,2,,2,3,4,0,0,1,0,,,1,5,5,5,5,4,5,4,5,4,4,4,4,5,5,4,3,4,5,3,5,4,3,3,4,5,4,3,4,5,3,4,4,3,4,4,3,5,4,3,3,2,3,2,4,3,24,0,5,230000,4,340000,0,0,1
R_9pXoRskEQ17VUDr,2,1,2,1,,3,4,2,1,1,1,0,,,0,4,4,3,3,4,3,4,4,5,4,4,3,3,4,3,2,4,3,4,3,4,4,3,4,4,3,3,1,3,4,3,3,4,2,3,3,5,5,2,4,5,4,3,4,4,24,0,10,480000,11,150000,0,0,1
R_9bAIZNAYy4dR7ON,2,0,1,1,,3,3,1,1,1,1,0,,,0,2,2,3,3,2,1,1,1,1,3,2,2,3,2,2,1,2,1,2,1,5,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,2,1,2,1,2,24,0,12,560000,13,300000,0,0,1
R_9thQYDRLVjO6G8K,2,2,3,2,,4,3,2,2,0,1,0,,,1,2,3,3,4,3,4,3,4,3,4,3,5,3,4,3,4,3,4,4,5,5,1,2,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,24,0,9,450000,10,200000,0,1,0
R_92YjG6dVfEopRR9,2,1,1,2,,1,0,2,1,0,1,0,,,1,4,3,5,5,2,4,2,3,5,4,1,2,4,5,4,5,4,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,4,1,1,1,5,1,24,0,6,370000,7,320000,0,1,0
